Date : 2023-04-25 18:40:28
Directory : /Users/justinblack/programming/openapi-python-client-comparison/petstore/openapi_json_schema_generator_python
Total : 407 files,  16405 codes, 2619 comments, 3856 blanks, all 22880 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| src/openapi_client/paths/pet_pet_id_upload_image/post/responses/response_200                                                                                                                                                    |          4 |         32 |         15 |         17 |         64 |
| src/openapi_client/paths/pet_pet_id_upload_image/post/responses/response_200 (Files)                                                                                                                                            |          1 |         30 |          6 |         11 |         47 |
| src/openapi_client/paths/pet_pet_id_upload_image/post/responses/response_200/content                                                                                                                                            |          3 |          2 |          9 |          6 |         17 |
| src/openapi_client/paths/pet_pet_id_upload_image/post/responses/response_200/content (Files)                                                                                                                                    |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/pet_pet_id_upload_image/post/responses/response_200/content/application_json                                                                                                                           |          2 |          2 |          9 |          5 |         16 |
| src/openapi_client/paths/pet_pet_id_upload_image/post/security                                                                                                                                                                  |          2 |          4 |          6 |          5 |         15 |
| src/openapi_client/paths/store_inventory                                                                                                                                                                                        |         10 |        286 |         40 |         69 |        395 |
| src/openapi_client/paths/store_inventory (Files)                                                                                                                                                                                |          1 |          1 |          3 |          1 |          5 |
| src/openapi_client/paths/store_inventory/get                                                                                                                                                                                    |          9 |        285 |         37 |         68 |        390 |
| src/openapi_client/paths/store_inventory/get (Files)                                                                                                                                                                            |          2 |        219 |         15 |         37 |        271 |
| src/openapi_client/paths/store_inventory/get/responses                                                                                                                                                                          |          5 |         62 |         16 |         26 |        104 |
| src/openapi_client/paths/store_inventory/get/responses (Files)                                                                                                                                                                  |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/store_inventory/get/responses/response_200                                                                                                                                                             |          4 |         62 |         16 |         25 |        103 |
| src/openapi_client/paths/store_inventory/get/responses/response_200 (Files)                                                                                                                                                     |          1 |         30 |          6 |         11 |         47 |
| src/openapi_client/paths/store_inventory/get/responses/response_200/content                                                                                                                                                     |          3 |         32 |         10 |         14 |         56 |
| src/openapi_client/paths/store_inventory/get/responses/response_200/content (Files)                                                                                                                                             |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/store_inventory/get/responses/response_200/content/application_json                                                                                                                                    |          2 |         32 |         10 |         13 |         55 |
| src/openapi_client/paths/store_inventory/get/security                                                                                                                                                                           |          2 |          4 |          6 |          5 |         15 |
| src/openapi_client/paths/store_order                                                                                                                                                                                            |         15 |        417 |         63 |         91 |        571 |
| src/openapi_client/paths/store_order (Files)                                                                                                                                                                                    |          1 |          1 |          3 |          1 |          5 |
| src/openapi_client/paths/store_order/post                                                                                                                                                                                       |         14 |        416 |         60 |         90 |        566 |
| src/openapi_client/paths/store_order/post (Files)                                                                                                                                                                               |          2 |        337 |         15 |         43 |        395 |
| src/openapi_client/paths/store_order/post/request_body                                                                                                                                                                          |          4 |         19 |         15 |         13 |         47 |
| src/openapi_client/paths/store_order/post/request_body (Files)                                                                                                                                                                  |          1 |         17 |          6 |          7 |         30 |
| src/openapi_client/paths/store_order/post/request_body/content                                                                                                                                                                  |          3 |          2 |          9 |          6 |         17 |
| src/openapi_client/paths/store_order/post/request_body/content (Files)                                                                                                                                                          |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/store_order/post/request_body/content/application_json                                                                                                                                                 |          2 |          2 |          9 |          5 |         16 |
| src/openapi_client/paths/store_order/post/responses                                                                                                                                                                             |          8 |         60 |         30 |         34 |        124 |
| src/openapi_client/paths/store_order/post/responses (Files)                                                                                                                                                                     |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/store_order/post/responses/response_200                                                                                                                                                                |          6 |         42 |         24 |         24 |         90 |
| src/openapi_client/paths/store_order/post/responses/response_200 (Files)                                                                                                                                                        |          1 |         38 |          6 |         13 |         57 |
| src/openapi_client/paths/store_order/post/responses/response_200/content                                                                                                                                                        |          5 |          4 |         18 |         11 |         33 |
| src/openapi_client/paths/store_order/post/responses/response_200/content (Files)                                                                                                                                                |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/store_order/post/responses/response_200/content/application_json                                                                                                                                       |          2 |          2 |          9 |          5 |         16 |
| src/openapi_client/paths/store_order/post/responses/response_200/content/application_xml                                                                                                                                        |          2 |          2 |          9 |          5 |         16 |
| src/openapi_client/paths/store_order/post/responses/response_400                                                                                                                                                                |          1 |         18 |          6 |          9 |         33 |
| src/openapi_client/paths/store_order_order_id                                                                                                                                                                                   |         23 |        631 |        111 |        174 |        916 |
| src/openapi_client/paths/store_order_order_id (Files)                                                                                                                                                                           |          1 |          1 |          3 |          1 |          5 |
| src/openapi_client/paths/store_order_order_id/delete                                                                                                                                                                            |          8 |        274 |         42 |         70 |        386 |
| src/openapi_client/paths/store_order_order_id/delete (Files)                                                                                                                                                                    |          2 |        218 |         15 |         38 |        271 |
| src/openapi_client/paths/store_order_order_id/delete/parameters                                                                                                                                                                 |          3 |         20 |         15 |         13 |         48 |
| src/openapi_client/paths/store_order_order_id/delete/parameters (Files)                                                                                                                                                         |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/store_order_order_id/delete/parameters/parameter_0                                                                                                                                                     |          2 |         20 |         15 |         12 |         47 |
| src/openapi_client/paths/store_order_order_id/delete/responses                                                                                                                                                                  |          3 |         36 |         12 |         19 |         67 |
| src/openapi_client/paths/store_order_order_id/delete/responses (Files)                                                                                                                                                          |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/store_order_order_id/delete/responses/response_400                                                                                                                                                     |          1 |         18 |          6 |          9 |         33 |
| src/openapi_client/paths/store_order_order_id/delete/responses/response_404                                                                                                                                                     |          1 |         18 |          6 |          9 |         33 |
| src/openapi_client/paths/store_order_order_id/get                                                                                                                                                                               |         14 |        356 |         66 |        103 |        525 |
| src/openapi_client/paths/store_order_order_id/get (Files)                                                                                                                                                                       |          2 |        249 |         15 |         43 |        307 |
| src/openapi_client/paths/store_order_order_id/get/parameters                                                                                                                                                                    |          3 |         29 |         15 |         17 |         61 |
| src/openapi_client/paths/store_order_order_id/get/parameters (Files)                                                                                                                                                            |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/store_order_order_id/get/parameters/parameter_0                                                                                                                                                        |          2 |         29 |         15 |         16 |         60 |
| src/openapi_client/paths/store_order_order_id/get/responses                                                                                                                                                                     |          9 |         78 |         36 |         43 |        157 |
| src/openapi_client/paths/store_order_order_id/get/responses (Files)                                                                                                                                                             |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/store_order_order_id/get/responses/response_200                                                                                                                                                        |          6 |         42 |         24 |         24 |         90 |
| src/openapi_client/paths/store_order_order_id/get/responses/response_200 (Files)                                                                                                                                                |          1 |         38 |          6 |         13 |         57 |
| src/openapi_client/paths/store_order_order_id/get/responses/response_200/content                                                                                                                                                |          5 |          4 |         18 |         11 |         33 |
| src/openapi_client/paths/store_order_order_id/get/responses/response_200/content (Files)                                                                                                                                        |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/store_order_order_id/get/responses/response_200/content/application_json                                                                                                                               |          2 |          2 |          9 |          5 |         16 |
| src/openapi_client/paths/store_order_order_id/get/responses/response_200/content/application_xml                                                                                                                                |          2 |          2 |          9 |          5 |         16 |
| src/openapi_client/paths/store_order_order_id/get/responses/response_400                                                                                                                                                        |          1 |         18 |          6 |          9 |         33 |
| src/openapi_client/paths/store_order_order_id/get/responses/response_404                                                                                                                                                        |          1 |         18 |          6 |          9 |         33 |
| src/openapi_client/paths/user                                                                                                                                                                                                   |         11 |        360 |         45 |         72 |        477 |
| src/openapi_client/paths/user (Files)                                                                                                                                                                                           |          1 |          1 |          3 |          1 |          5 |
| src/openapi_client/paths/user/post                                                                                                                                                                                              |         10 |        359 |         42 |         71 |        472 |
| src/openapi_client/paths/user/post (Files)                                                                                                                                                                                      |          2 |        318 |         15 |         43 |        376 |
| src/openapi_client/paths/user/post/request_body                                                                                                                                                                                 |          4 |         19 |         15 |         13 |         47 |
| src/openapi_client/paths/user/post/request_body (Files)                                                                                                                                                                         |          1 |         17 |          6 |          7 |         30 |
| src/openapi_client/paths/user/post/request_body/content                                                                                                                                                                         |          3 |          2 |          9 |          6 |         17 |
| src/openapi_client/paths/user/post/request_body/content (Files)                                                                                                                                                                 |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/user/post/request_body/content/application_json                                                                                                                                                        |          2 |          2 |          9 |          5 |         16 |
| src/openapi_client/paths/user/post/responses                                                                                                                                                                                    |          2 |         18 |          6 |         10 |         34 |
| src/openapi_client/paths/user/post/responses (Files)                                                                                                                                                                            |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/user/post/responses/response_default                                                                                                                                                                   |          1 |         18 |          6 |          9 |         33 |
| src/openapi_client/paths/user/post/security                                                                                                                                                                                     |          2 |          4 |          6 |          5 |         15 |
| src/openapi_client/paths/user_create_with_array                                                                                                                                                                                 |          8 |        343 |         36 |         63 |        442 |
| src/openapi_client/paths/user_create_with_array (Files)                                                                                                                                                                         |          1 |          1 |          3 |          1 |          5 |
| src/openapi_client/paths/user_create_with_array/post                                                                                                                                                                            |          7 |        342 |         33 |         62 |        437 |
| src/openapi_client/paths/user_create_with_array/post (Files)                                                                                                                                                                    |          2 |        318 |         15 |         43 |        376 |
| src/openapi_client/paths/user_create_with_array/post/request_body                                                                                                                                                               |          1 |          2 |          6 |          4 |         12 |
| src/openapi_client/paths/user_create_with_array/post/responses                                                                                                                                                                  |          2 |         18 |          6 |         10 |         34 |
| src/openapi_client/paths/user_create_with_array/post/responses (Files)                                                                                                                                                          |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/user_create_with_array/post/responses/response_default                                                                                                                                                 |          1 |         18 |          6 |          9 |         33 |
| src/openapi_client/paths/user_create_with_array/post/security                                                                                                                                                                   |          2 |          4 |          6 |          5 |         15 |
| src/openapi_client/paths/user_create_with_list                                                                                                                                                                                  |          8 |        343 |         36 |         63 |        442 |
| src/openapi_client/paths/user_create_with_list (Files)                                                                                                                                                                          |          1 |          1 |          3 |          1 |          5 |
| src/openapi_client/paths/user_create_with_list/post                                                                                                                                                                             |          7 |        342 |         33 |         62 |        437 |
| src/openapi_client/paths/user_create_with_list/post (Files)                                                                                                                                                                     |          2 |        318 |         15 |         43 |        376 |
| src/openapi_client/paths/user_create_with_list/post/request_body                                                                                                                                                                |          1 |          2 |          6 |          4 |         12 |
| src/openapi_client/paths/user_create_with_list/post/responses                                                                                                                                                                   |          2 |         18 |          6 |         10 |         34 |
| src/openapi_client/paths/user_create_with_list/post/responses (Files)                                                                                                                                                           |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/user_create_with_list/post/responses/response_default                                                                                                                                                  |          1 |         18 |          6 |          9 |         33 |
| src/openapi_client/paths/user_create_with_list/post/security                                                                                                                                                                    |          2 |          4 |          6 |          5 |         15 |
| src/openapi_client/paths/user_login                                                                                                                                                                                             |         23 |        461 |        123 |        147 |        731 |
| src/openapi_client/paths/user_login (Files)                                                                                                                                                                                     |          1 |          1 |          3 |          1 |          5 |
| src/openapi_client/paths/user_login/get                                                                                                                                                                                         |         22 |        460 |        120 |        146 |        726 |
| src/openapi_client/paths/user_login/get (Files)                                                                                                                                                                                 |          2 |        251 |         15 |         42 |        308 |
| src/openapi_client/paths/user_login/get/parameters                                                                                                                                                                              |          5 |         51 |         30 |         29 |        110 |
| src/openapi_client/paths/user_login/get/parameters (Files)                                                                                                                                                                      |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/user_login/get/parameters/parameter_0                                                                                                                                                                  |          2 |         30 |         15 |         16 |         61 |
| src/openapi_client/paths/user_login/get/parameters/parameter_1                                                                                                                                                                  |          2 |         21 |         15 |         12 |         48 |
| src/openapi_client/paths/user_login/get/responses                                                                                                                                                                               |         15 |        158 |         75 |         75 |        308 |
| src/openapi_client/paths/user_login/get/responses (Files)                                                                                                                                                                       |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/user_login/get/responses/response_200                                                                                                                                                                  |         13 |        140 |         69 |         65 |        274 |
| src/openapi_client/paths/user_login/get/responses/response_200 (Files)                                                                                                                                                          |          1 |         64 |          6 |         18 |         88 |
| src/openapi_client/paths/user_login/get/responses/response_200/content                                                                                                                                                          |          5 |         22 |         18 |         13 |         53 |
| src/openapi_client/paths/user_login/get/responses/response_200/content (Files)                                                                                                                                                  |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/user_login/get/responses/response_200/content/application_json                                                                                                                                         |          2 |         11 |          9 |          6 |         26 |
| src/openapi_client/paths/user_login/get/responses/response_200/content/application_xml                                                                                                                                          |          2 |         11 |          9 |          6 |         26 |
| src/openapi_client/paths/user_login/get/responses/response_200/headers                                                                                                                                                          |          7 |         54 |         45 |         34 |        133 |
| src/openapi_client/paths/user_login/get/responses/response_200/headers (Files)                                                                                                                                                  |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/user_login/get/responses/response_200/headers/header_set_cookie                                                                                                                                        |          2 |         18 |         15 |         11 |         44 |
| src/openapi_client/paths/user_login/get/responses/response_200/headers/header_x_expires_after                                                                                                                                   |          2 |         18 |         15 |         11 |         44 |
| src/openapi_client/paths/user_login/get/responses/response_200/headers/header_x_rate_limit                                                                                                                                      |          2 |         18 |         15 |         11 |         44 |
| src/openapi_client/paths/user_login/get/responses/response_400                                                                                                                                                                  |          1 |         18 |          6 |          9 |         33 |
| src/openapi_client/paths/user_logout                                                                                                                                                                                            |          7 |        203 |         30 |         51 |        284 |
| src/openapi_client/paths/user_logout (Files)                                                                                                                                                                                    |          1 |          1 |          3 |          1 |          5 |
| src/openapi_client/paths/user_logout/get                                                                                                                                                                                        |          6 |        202 |         27 |         50 |        279 |
| src/openapi_client/paths/user_logout/get (Files)                                                                                                                                                                                |          2 |        180 |         15 |         35 |        230 |
| src/openapi_client/paths/user_logout/get/responses                                                                                                                                                                              |          2 |         18 |          6 |         10 |         34 |
| src/openapi_client/paths/user_logout/get/responses (Files)                                                                                                                                                                      |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/user_logout/get/responses/response_default                                                                                                                                                             |          1 |         18 |          6 |          9 |         33 |
| src/openapi_client/paths/user_logout/get/security                                                                                                                                                                               |          2 |          4 |          6 |          5 |         15 |
| src/openapi_client/paths/user_username                                                                                                                                                                                          |         39 |      1,112 |        180 |        270 |      1,562 |
| src/openapi_client/paths/user_username (Files)                                                                                                                                                                                  |          1 |          1 |          3 |          1 |          5 |
| src/openapi_client/paths/user_username/delete                                                                                                                                                                                   |         10 |        302 |         48 |         76 |        426 |
| src/openapi_client/paths/user_username/delete (Files)                                                                                                                                                                           |          2 |        242 |         15 |         39 |        296 |
| src/openapi_client/paths/user_username/delete/parameters                                                                                                                                                                        |          3 |         20 |         15 |         13 |         48 |
| src/openapi_client/paths/user_username/delete/parameters (Files)                                                                                                                                                                |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/user_username/delete/parameters/parameter_0                                                                                                                                                            |          2 |         20 |         15 |         12 |         47 |
| src/openapi_client/paths/user_username/delete/responses                                                                                                                                                                         |          3 |         36 |         12 |         19 |         67 |
| src/openapi_client/paths/user_username/delete/responses (Files)                                                                                                                                                                 |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/user_username/delete/responses/response_400                                                                                                                                                            |          1 |         18 |          6 |          9 |         33 |
| src/openapi_client/paths/user_username/delete/responses/response_404                                                                                                                                                            |          1 |         18 |          6 |          9 |         33 |
| src/openapi_client/paths/user_username/delete/security                                                                                                                                                                          |          2 |          4 |          6 |          5 |         15 |
| src/openapi_client/paths/user_username/get                                                                                                                                                                                      |         14 |        347 |         66 |         99 |        512 |
| src/openapi_client/paths/user_username/get (Files)                                                                                                                                                                              |          2 |        249 |         15 |         43 |        307 |
| src/openapi_client/paths/user_username/get/parameters                                                                                                                                                                           |          3 |         20 |         15 |         13 |         48 |
| src/openapi_client/paths/user_username/get/parameters (Files)                                                                                                                                                                   |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/user_username/get/parameters/parameter_0                                                                                                                                                               |          2 |         20 |         15 |         12 |         47 |
| src/openapi_client/paths/user_username/get/responses                                                                                                                                                                            |          9 |         78 |         36 |         43 |        157 |
| src/openapi_client/paths/user_username/get/responses (Files)                                                                                                                                                                    |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/user_username/get/responses/response_200                                                                                                                                                               |          6 |         42 |         24 |         24 |         90 |
| src/openapi_client/paths/user_username/get/responses/response_200 (Files)                                                                                                                                                       |          1 |         38 |          6 |         13 |         57 |
| src/openapi_client/paths/user_username/get/responses/response_200/content                                                                                                                                                       |          5 |          4 |         18 |         11 |         33 |
| src/openapi_client/paths/user_username/get/responses/response_200/content (Files)                                                                                                                                               |          1 |          0 |          0 |          1 |          1 |
| src/openapi_client/paths/user_username/get/responses/response_200/content/application_json                                                                                                                                      |          2 |          2 |          9 |          5 |         16 |
| src/openapi_client/paths/user_username/get/responses/response_200/content/application_xml                                                                                                                                       |          2 |          2 |          9 |          5 |         16 |
| src/openapi_client/paths/user_username/get/responses/response_400                                                                                                                                                               |          1 |         18 |          6 |          9 |         33 |
| src/openapi_client/paths/user_username/get/responses/response_404                                                                                                                                                               |          1 |         18 |          6 |          9 |         33 |
| src/openapi_client/paths/user_username/put                                                                                                                                                                                      |         14 |        462 |         63 |         94 |        619 |
| src/openapi_client/paths/user_username/put (Files)                                                                                                                                                                              |          2 |        383 |         15 |         44 |        442 |
| src/openapi_client/paths/user_username/put/parameters                                                                                                                                                                           |          3 |         20 |         15 |         13 |         48 |
| src/openapi_client/paths/user_username/put/parameters (Files)                                                                                                                                                                   |          1 |          0 |          0 |          1 |          1 |
